dist,n,alg,time_mean,time_std,time_min,time_max,time_cv,cost_mean,cost_std,cost_min,cost_max
"uniform(0.0,1.0)",10,prim,3.614405000917031e-05,4.976554552394287e-06,3.1009999474918004e-05,5.482600045070285e-05,0.1376866884350718,1.1425988456378977,0.33415854430263786,0.3793834644193175,1.9472002011496867
"uniform(0.0,1.0)",10,kruskal,2.785944002425822e-05,5.019057161023419e-06,2.2838000404590275e-05,5.1263999921502545e-05,0.1801564265704244,1.1425988456378977,0.33415854430263786,0.3793834644193175,1.9472002011496872
"uniform(0.0,1.0)",20,prim,0.00011602400993979245,1.5009265742731343e-05,0.00010099199971591588,0.00015861199972277973,0.12936344598432686,1.1386623349214882,0.2478397249774662,0.5774641144055529,1.9021767887050043
"uniform(0.0,1.0)",20,kruskal,0.00010135230002561002,2.2750267524435155e-05,8.101700041152071e-05,0.00020226299966452643,0.2244672051713335,1.1386623349214882,0.2478397249774663,0.5774641144055529,1.9021767887050043
"uniform(0.0,1.0)",30,prim,0.00025598447999072957,2.3433765635662364e-05,0.00023089899968908867,0.00035975799983134493,0.09154369685424293,1.1714103994429335,0.2430213418593503,0.5920919580295169,1.8242254135338152
"uniform(0.0,1.0)",30,kruskal,0.00021491994002644787,4.2664891734730386e-05,0.00018948199976875912,0.0005078929998489912,0.19851527843102915,1.1714103994429335,0.24302134185935026,0.5920919580295169,1.8242254135338145
"uniform(0.0,1.0)",40,prim,0.00042368135998003707,2.5087599794543275e-05,0.00038420199962274637,0.000528565999957209,0.05921336684655031,1.1841793080728693,0.19365260922815805,0.7399872270682886,1.6005355580456242
"uniform(0.0,1.0)",40,kruskal,0.00037318333997063744,3.022486315768538e-05,0.0003431350005485001,0.0005365280003388762,0.08099199487325322,1.1841793080728693,0.19365260922815813,0.7399872270682886,1.6005355580456242
"uniform(0.0,1.0)",50,prim,0.0006768259700220369,6.430110903367496e-05,0.0006007129995850846,0.000887765000697982,0.0950039033395562,1.1777518062477543,0.17348976928333446,0.8371186779388395,1.6732505276028524
"uniform(0.0,1.0)",50,kruskal,0.0006311476900282287,0.00011130068165176545,0.0005568530004893546,0.0011629440004981006,0.17634649292115356,1.1777518062477543,0.1734897692833345,0.8371186779388395,1.673250527602852
"uniform(0.0,1.0)",60,prim,0.0008890626699849236,4.498849449794786e-05,0.0008179229998859228,0.001078016000064963,0.05060216339834712,1.2061281438932743,0.1472900864000206,0.8219396853022413,1.6393099309929573
"uniform(0.0,1.0)",60,kruskal,0.0010956770499342384,0.00021739363353982322,0.0008314719998452347,0.001974090999283362,0.19841031949411644,1.206128143893274,0.14729008640002061,0.8219396853022413,1.6393099309929582
"uniform(0.0,1.0)",70,prim,0.0012407889900350711,7.043056427285514e-05,0.001091843999347475,0.001452580000659509,0.056762725039061164,1.172639300131231,0.14224194027581746,0.8385360139033745,1.5631159666616292
"uniform(0.0,1.0)",70,kruskal,0.0018808331400123278,0.00035579088435216033,0.0011714639995261678,0.0030930350003472995,0.18916663939142858,1.172639300131231,0.14224194027581746,0.8385360139033745,1.5631159666616288
"uniform(0.0,1.0)",80,prim,0.0014307997900414194,0.00012431844783240253,0.0012593949995789444,0.001823859999603883,0.08688738193678636,1.2054729740605996,0.14505424843108414,0.8144995053453822,1.5445659007976889
"uniform(0.0,1.0)",80,kruskal,0.0019703108600424455,0.000598487022212971,0.0013805019998471835,0.0044062079996365355,0.30375258765009194,1.2054729740605996,0.1450542484310842,0.8144995053453822,1.544565900797689
"uniform(0.0,1.0)",90,prim,0.0017917585800387315,0.00013853040006107074,0.0015419779992953409,0.0023440459999619634,0.07731532674344788,1.2216578445846955,0.12573096211862805,0.9630489441681993,1.5431179855920907
"uniform(0.0,1.0)",90,kruskal,0.002532351249974454,0.0006926546428401368,0.0018304959994566161,0.0052414520005186205,0.2735223412814965,1.2216578445846953,0.125730962118628,0.9630489441681993,1.54311798559209
"uniform(0.0,1.0)",100,prim,0.0021723073299472163,0.0001458947794560585,0.0019008269991900306,0.0027884529999937513,0.06716120571190243,1.2073183434242614,0.13124717443603937,0.9143833100194093,1.5391973133278247
"uniform(0.0,1.0)",100,kruskal,0.003061509740045949,0.0005133883768494765,0.0024022240004342166,0.004833783000322001,0.1676912440075305,1.2073183434242614,0.1312471744360393,0.9143833100194093,1.539197313327824
"uniform(0.0,1.0)",110,prim,0.002497522280091289,0.00013174601955740287,0.002228946000286669,0.0028365730004225043,0.05275068839529524,1.2008866305199,0.11977145240930163,0.899455381019404,1.5514304328957316
"uniform(0.0,1.0)",110,kruskal,0.0031761572299910767,0.00037626710707985194,0.0027569539997784887,0.005203108999921824,0.11846614629997679,1.2008866305199002,0.11977145240930168,0.899455381019404,1.551430432895732
"uniform(0.0,1.0)",120,prim,0.0032271475700417795,0.00042452274774520976,0.002698775000681053,0.004635222000615613,0.13154736141790807,1.2043685403915965,0.10540529330411795,0.8704373395098177,1.493702758550319
"uniform(0.0,1.0)",120,kruskal,0.00552465207010755,0.0015587843775549256,0.0033068920001824154,0.011363336000613344,0.2821506870974013,1.2043685403915965,0.105405293304118,0.8704373395098177,1.4937027585503189
"uniform(0.0,1.0)",130,prim,0.004057857080006215,0.0004166751542242543,0.0034015970004475093,0.005777631000455585,0.10268354602168889,1.206857561964211,0.11131913026916859,0.9874128669729769,1.4809300972262545
"uniform(0.0,1.0)",130,kruskal,0.00617096195996055,0.0010558772975441224,0.004622230999302701,0.00959863200023392,0.17110416567061001,1.206857561964211,0.1113191302691686,0.9874128669729769,1.4809300972262545
