dist,n,rep,prim_time,kruskal_time,prim_cost,kruskal_cost
uniform,20,0,0.00010252999982185429,8.918999992602039e-05,0.8435884969046524,0.8435884969046524
uniform,20,1,8.78629998624092e-05,6.914499999766122e-05,0.79078838193147,0.79078838193147
uniform,20,2,8.667599968248396e-05,7.745599987174501e-05,1.0578264704354292,1.0578264704354292
uniform,20,3,9.764100013853749e-05,7.03319997228391e-05,1.1765382867660166,1.1765382867660164
uniform,20,4,8.534900007362012e-05,7.117099994502496e-05,0.9858124694164216,0.9858124694164216
uniform,20,5,8.632599974589539e-05,6.669999993391684e-05,0.8145793359471986,0.8145793359471986
uniform,20,6,8.492899996781489e-05,6.809700016674469e-05,1.4727164995302062,1.4727164995302062
uniform,20,7,8.51380000312929e-05,8.36029998936283e-05,1.1295986792229715,1.1295986792229713
uniform,20,8,9.352000006401795e-05,6.816700033596135e-05,1.0934146029122827,1.0934146029122824
uniform,20,9,8.583699991504545e-05,7.864300005167024e-05,1.1969675204651697,1.19696752046517
uniform,20,10,9.247199977835407e-05,7.193900000856956e-05,0.9448735374294872,0.9448735374294872
uniform,20,11,8.716399997865665e-05,6.690999998681946e-05,1.3054451120281647,1.3054451120281645
uniform,20,12,8.681500003149267e-05,6.89349999447586e-05,1.2773949367353357,1.2773949367353357
uniform,20,13,8.723399969312595e-05,6.684000027235015e-05,0.9684647486498943,0.9684647486498943
uniform,20,14,8.618600031695678e-05,6.879599959574989e-05,1.7159034025521205,1.715903402552121
uniform,20,15,8.695499991517863e-05,6.628099981753621e-05,1.1386392091311883,1.1386392091311883
uniform,20,16,9.736099991641822e-05,6.732900010320009e-05,1.1191034306103718,1.1191034306103718
uniform,20,17,8.695499991517863e-05,6.907399983901996e-05,0.9730696486424704,0.9730696486424704
uniform,20,18,8.527799991497886e-05,6.739899981766939e-05,1.3945492090450706,1.3945492090450702
uniform,20,19,9.49170002968458e-05,6.865600016681128e-05,1.0321580281206477,1.0321580281206475
uniform,20,20,8.821200026432052e-05,8.325299995703972e-05,0.9543033207543657,0.9543033207543657
uniform,20,21,8.835200014800648e-05,7.054200023048907e-05,1.309137808778789,1.3091378087787893
uniform,20,22,8.842099987305119e-05,7.019299982857774e-05,0.9586004009979645,0.9586004009979645
uniform,20,23,8.870000010574586e-05,7.501199979742523e-05,1.1635616125090773,1.1635616125090773
uniform,20,24,8.946899970396771e-05,6.823700005043065e-05,0.9525906888330319,0.9525906888330319
uniform,20,25,8.779300014793989e-05,6.928499988134718e-05,0.6969623158583373,0.6969623158583373
uniform,20,26,8.870100009517046e-05,7.02620000083698e-05,0.7798066416785654,0.7798066416785654
uniform,20,27,8.821200026432052e-05,6.998299977567513e-05,0.9467722231077124,0.9467722231077124
uniform,20,28,9.14940001166542e-05,7.116999995560036e-05,1.4677693051391634,1.467769305139163
uniform,20,29,0.00010008500021285727,7.145000017771963e-05,1.1089882026973528,1.1089882026973528
uniform,40,0,0.0003185549999216164,0.00029201400002420996,1.2192438141328008,1.219243814132801
uniform,40,1,0.00032477100012329174,0.000279162999959226,1.31587243597949,1.31587243597949
uniform,40,2,0.0003220469998268527,0.00028293500008658157,1.096719140855761,1.096719140855761
uniform,40,3,0.0003231649998269859,0.0002855190000445873,1.0991055846059872,1.099105584605987
uniform,40,4,0.00033217400005014497,0.00028293500008658157,1.2564657674021393,1.256465767402139
uniform,40,5,0.00032882100003917003,0.00028461100009735674,1.0394999908350768,1.0394999908350768
uniform,40,6,0.000325538999732089,0.0002892899997277709,1.3035664086973957,1.3035664086973957
uniform,40,7,0.00033007899992298917,0.00029760200004602666,0.924488391235213,0.924488391235213
uniform,40,8,0.0003299390000393032,0.0002957159999823489,0.9711165638558598,0.9711165638558598
uniform,40,9,0.00035089199991489295,0.00029669399964404874,1.1401619925238773,1.1401619925238777
uniform,40,10,0.0003318949998174503,0.0002971130002151767,1.0562227498590468,1.0562227498590468
uniform,40,11,0.00033301300027233083,0.0003044459999728133,1.1868747465025729,1.186874746502573
uniform,40,12,0.00033385000006092014,0.000291665000077046,0.9332268435029436,0.9332268435029436
uniform,40,13,0.00033622499995544786,0.0003217670000594808,1.3955956510413277,1.3955956510413277
uniform,40,14,0.00034628299999894807,0.000293900999622565,1.1719758072632784,1.1719758072632784
uniform,40,15,0.0003475399998933426,0.00029152500019336003,1.434114371449124,1.4341143714491245
uniform,40,16,0.00035242900003140676,0.0003099640002801607,0.946367329141127,0.946367329141127
uniform,40,17,0.00034530499988250085,0.000288661000013235,1.3292585695377146,1.3292585695377146
uniform,40,18,0.0003590639998947154,0.0002959949997602962,0.9880745910001426,0.9880745910001426
uniform,40,19,0.00034369800005151774,0.00030619299968748237,1.2511244555385168,1.2511244555385166
uniform,40,20,0.00034160299992436194,0.00033804100030465634,1.1308559064494497,1.1308559064494497
uniform,40,21,0.00034628299999894807,0.0003463519997239928,1.1068989491768153,1.106898949176815
uniform,40,22,0.00035431400010565994,0.00032651700030328357,1.0162513851066257,1.0162513851066257
