dist,n,alg,time_mean,time_std,time_min,time_max,time_cv,cost_mean,cost_std,cost_min,cost_max
"uniform(0.0,1.0)",10,prim,3.614405000917031e-05,4.976554552394287e-06,3.1009999474918004e-05,5.482600045070285e-05,0.1376866884350718,1.1425988456378977,0.33415854430263786,0.3793834644193175,1.9472002011496867
"uniform(0.0,1.0)",10,kruskal,2.785944002425822e-05,5.0190571610234195e-06,2.2838000404590275e-05,5.126399992150255e-05,0.18015642657042444,1.1425988456378977,0.33415854430263786,0.3793834644193175,1.9472002011496872
"uniform(0.0,1.0)",20,prim,0.00011602400993974401,1.5009265742730421e-05,0.0001009919997159,0.0001586119997227,0.1293634459843729,1.1386623349214882,0.24783972497746623,0.5774641144055529,1.9021767887050045
"uniform(0.0,1.0)",20,kruskal,0.00010135230002559478,2.2750267524420938e-05,8.101700041152071e-05,0.0002022629996645,0.22446720517122698,1.1386623349214882,0.24783972497746629,0.5774641144055529,1.9021767887050045
"uniform(0.0,1.0)",30,prim,0.000255984479990681,2.3433765635664888e-05,0.000230898999689,0.0003597579998313,0.09154369685427016,1.1714103994429337,0.24302134185935026,0.5920919580295169,1.8242254135338152
"uniform(0.0,1.0)",30,kruskal,0.00021491994002639404,4.2664891734731185e-05,0.0001894819997687,0.0005078929998489,0.1985152784310826,1.1714103994429337,0.2430213418593503,0.5920919580295169,1.8242254135338145
"uniform(0.0,1.0)",40,prim,0.000423681359979985,2.5087599794541625e-05,0.0003842019996227,0.0005285659999572,0.0592133668465537,1.1841793080728693,0.19365260922815808,0.7399872270682886,1.6005355580456242
"uniform(0.0,1.0)",40,kruskal,0.00037318333997059103,3.022486315767821e-05,0.0003431350005485,0.0005365280003388,0.08099199487324407,1.1841793080728693,0.19365260922815813,0.7399872270682886,1.6005355580456242
"uniform(0.0,1.0)",50,prim,0.0006768259700219831,6.430110903367307e-05,0.000600712999585,0.0008877650006979,0.09500390333956096,1.1777518062477543,0.17348976928333448,0.8371186779388395,1.6732505276028524
"uniform(0.0,1.0)",50,kruskal,0.000631147690028183,0.00011130068165177105,0.0005568530004893,0.0011629440004981,0.17634649292117519,1.1777518062477543,0.1734897692833345,0.8371186779388395,1.673250527602852
"uniform(0.0,1.0)",60,prim,0.0008890626699848721,4.4988494497946026e-05,0.0008179229998859,0.0010780160000649,0.050602163398347985,1.2061281438932743,0.14729008640002056,0.8219396853022413,1.6393099309929573
"uniform(0.0,1.0)",60,kruskal,0.0010956770499341909,0.00021739363353982574,0.0008314719998452,0.0019740909992833,0.19841031949412735,1.206128143893274,0.14729008640002061,0.8219396853022413,1.6393099309929582
"uniform(0.0,1.0)",70,prim,0.0012407889900350208,7.04305642728555e-05,0.0010918439993474,0.0014525800006595,0.056762725039063745,1.172639300131231,0.14224194027581746,0.8385360139033745,1.5631159666616292
"uniform(0.0,1.0)",70,kruskal,0.0018808331400122812,0.00035579088435216244,0.0011714639995261,0.0030930350003472,0.1891666393914344,1.172639300131231,0.14224194027581746,0.8385360139033745,1.5631159666616288
"uniform(0.0,1.0)",80,prim,0.001430799790041375,0.00012431844783240004,0.0012593949995789,0.0018238599996038,0.08688738193678731,1.2054729740605996,0.14505424843108414,0.8144995053453822,1.5445659007976889
"uniform(0.0,1.0)",80,kruskal,0.0019703108600424,0.000598487022212968,0.0013805019998471,0.0044062079996365,0.30375258765009744,1.2054729740605996,0.14505424843108422,0.8144995053453822,1.544565900797689
"uniform(0.0,1.0)",90,prim,0.0017917585800386782,0.0001385304000610701,0.0015419779992953,0.0023440459999619,0.07731532674344982,1.2216578445846953,0.12573096211862803,0.9630489441681992,1.543117985592091
"uniform(0.0,1.0)",90,kruskal,0.002532351249974408,0.0006926546428401374,0.0018304959994566,0.0052414520005186,0.27352234128150166,1.221657844584695,0.125730962118628,0.9630489441681992,1.54311798559209
"uniform(0.0,1.0)",100,prim,0.002172307329947167,0.0001458947794560634,0.00190082699919,0.0027884529999937,0.06716120571190622,1.2073183434242614,0.13124717443603937,0.9143833100194092,1.5391973133278247
"uniform(0.0,1.0)",100,kruskal,0.003061509740045903,0.0005133883768494786,0.0024022240004342,0.004833783000322,0.1676912440075337,1.2073183434242614,0.13124717443603934,0.9143833100194092,1.539197313327824
"uniform(0.0,1.0)",110,prim,0.002497522280091242,0.00013174601955740989,0.0022289460002866,0.0028365730004225,0.05275068839529904,1.2008866305199,0.11977145240930163,0.899455381019404,1.5514304328957316
"uniform(0.0,1.0)",110,kruskal,0.0031761572299910273,0.0003762671070798547,0.0027569539997784,0.0052031089999218,0.11846614629997951,1.2008866305199002,0.11977145240930168,0.899455381019404,1.551430432895732
"uniform(0.0,1.0)",120,prim,0.003227147570041733,0.0004245227477452141,0.002698775000681,0.0046352220006156,0.1315473614179113,1.2043685403915965,0.10540529330411794,0.8704373395098177,1.493702758550319
"uniform(0.0,1.0)",120,kruskal,0.005524652070107506,0.0015587843775549293,0.0033068920001824,0.0113633360006133,0.2821506870974042,1.2043685403915965,0.10540529330411799,0.8704373395098177,1.4937027585503189
"uniform(0.0,1.0)",130,prim,0.004057857080006168,0.0004166751542242532,0.0034015970004475,0.0057776310004555,0.1026835460216898,1.206857561964211,0.11131913026916859,0.9874128669729768,1.4809300972262545
"uniform(0.0,1.0)",130,kruskal,0.006170961959960499,0.0010558772975441282,0.0046222309993027,0.0095986320002339,0.1711041656706124,1.206857561964211,0.11131913026916862,0.9874128669729768,1.4809300972262545
